Sales Person,Geography,Product,Date,Amount,Boxes
Kaine Padly,  UK,Organic Choco Syrup,12/3/2021,"$2,275 ",99
Barr Faughny,   UK,Spicy Special Slims,12/3/2021,"$3,941 ",180
Van Tuxwell, UK,70% Dark Bites,12/3/2021,$49 ,4
Madelene Upcott, USA,Almond Choco,12/3/2021,"$3,346 ",168
Dotty Strutley,   India,White Choc,15/3/2021,"$4,592 ",511
Mallorie Waber,   Australia,Fruit & Nut Bars,15/3/2021,"$8,862 ",522
Jehu Rudeforth,New Zealand,Eclairs,15/3/2021,"$9,590 ",640
Wilone O'Kielt, USA,85% Dark Bars,15/3/2021,"$7,175 ",359
Husein Augar, India,Spicy Special Slims,15/3/2021,"$2,534 ",91
Dennison Crosswaite, India,Eclairs,15/3/2021,"$1,162 ",62
Brien Boise,  Canada,Mint Chip Choco,15/3/2021,"$7,042 ",470
Curtice Advani,  India,Smooth Sliky Salty,15/3/2021,"$7,392 ",493
Roddy Speechley,Canada,Mint Chip Choco,15/3/2021,$371 ,20
Van Tuxwell,  New Zealand,Eclairs,16/3/2021,"$7,728 ",368
Oby Sorrel,Australia,Manuka Honey Choco,16/3/2021,$518 ,21
Ches Bonnell, India,Drinking Coco,16/3/2021,"$8,547 ",317
Kelci Walkden,Australia,Mint Chip Choco,16/3/2021,"$4,018 ",192
Mallorie Waber,  New Zealand,Caramel Stuffed Bars,16/3/2021,"$6,118 ",266
Karlen McCaffrey,   New Zealand,After Nines,16/3/2021,"$1,582 ",55
Van Tuxwell,New Zealand,85% Dark Bars,16/3/2021,"$3,626 ",214
Madelene Upcott,   Canada,After Nines,16/3/2021,"$8,981 ",360
Ches Bonnell, USA,70% Dark Bites,16/3/2021,"$3,304 ",255
Gunar Cockshoot, UK,After Nines,16/3/2021,"$6,076 ",196
Wilone O'Kielt,India,Baker's Choco Chips,16/3/2021,"$12,530 ",964
Dennison Crosswaite,   USA,Smooth Sliky Salty,16/3/2021,"$3,675 ",283
Kelci Walkden,UK,Raspberry Choco,16/3/2021,$434 ,28
Brien Boise,   India,Smooth Sliky Salty,16/3/2021,"$5,509 ",307
Barr Faughny,  India,Choco Coated Almonds,16/3/2021,"$10,843 ",517
Barr Faughny,   Canada,Orange Choco,16/3/2021,"$7,623 ",587
Barr Faughny,  Canada,Fruit & Nut Bars,16/3/2021,"$7,623 ",636
Barr Faughny, Canada,Spicy Special Slims,17/3/2021,"$6,573 ",313
Gigi Bohling,  India,White Choc,17/3/2021,"$2,520 ",149
Wilone O'Kielt, India,Choco Coated Almonds,17/3/2021,$910 ,54
Roddy Speechley, USA,70% Dark Bites,17/3/2021,"$5,397 ",416
Marney O'Breen, Canada,Organic Choco Syrup,17/3/2021,"$4,263 ",158
Beverie Moffet,   UK,Caramel Stuffed Bars,17/3/2021,"$7,637 ",273
Husein Augar, Canada,85% Dark Bars,17/3/2021,"$15,239 ",953
Van Tuxwell,USA,99% Dark & Pure,17/3/2021,"$7,840 ",392
Marney O'Breen,  Canada,Manuka Honey Choco,17/3/2021,"$1,302 ",51
Marney O'Breen, USA,Caramel Stuffed Bars,17/3/2021,"$3,192 ",128
Van Tuxwell,New Zealand,Organic Choco Syrup,17/3/2021,"$4,312 ",188
Madelene Upcott,USA,Organic Choco Syrup,17/3/2021,"$6,258 ",224
Gigi Bohling,   USA,Peanut Butter Cubes,17/3/2021,"$7,931 ",418
Beverie Moffet,   Canada,Peanut Butter Cubes,17/3/2021,"$2,576 ",129
Gunar Cockshoot,  India,Caramel Stuffed Bars,17/3/2021,$623 ,22
Oby Sorrel, UK,Caramel Stuffed Bars,17/3/2021,"$7,567 ",292
Jan Morforth, India,Peanut Butter Cubes,18/3/2021,"$6,363 ",266
Dennison Crosswaite,Canada,Peanut Butter Cubes,18/3/2021,"$1,645 ",75
Camilla Castle,  Canada,70% Dark Bites,18/3/2021,"$12,740 ",980
Karlen McCaffrey,  Canada,Smooth Sliky Salty,18/3/2021,"$6,755 ",483
Kelci Walkden,   India,Fruit & Nut Bars,18/3/2021,"$13,321 ",833
Andria Kimpton,Australia,Choco Coated Almonds,18/3/2021,"$1,078 ",57
Dotty Strutley,   Canada,99% Dark & Pure,18/3/2021,"$13,104 ",624
Kaine Padly,  Canada,Manuka Honey Choco,18/3/2021,"$10,241 ",366
Beverie Moffet,   UK,85% Dark Bars,19/3/2021,"$1,904 ",112
Kelci Walkden,   Canada,Smooth Sliky Salty,19/3/2021,"$4,116 ",217
Andria Kimpton,Canada,Spicy Special Slims,19/3/2021,"$1,302 ",55
Gunar Cockshoot,   Canada,Spicy Special Slims,19/3/2021,"$4,606 ",210
Camilla Castle,   India,Eclairs,19/3/2021,"$8,526 ",569
Beverie Moffet,Canada,Caramel Stuffed Bars,22/3/2021,"$13,832 ",577
Gunar Cockshoot,UK,Caramel Stuffed Bars,22/3/2021,"$10,962 ",392
Wilone O'Kielt,India,Mint Chip Choco,22/3/2021,"$5,383 ",317
Camilla Castle, Australia,Baker's Choco Chips,22/3/2021,"$2,856 ",179
Beverie Moffet,   USA,Organic Choco Syrup,22/3/2021,"$2,954 ",96
Gigi Bohling,   USA,Spicy Special Slims,22/3/2021,"$14,385 ",600
Brien Boise,  UK,Eclairs,22/3/2021,"$10,346 ",647
Roddy Speechley, India,Smooth Sliky Salty,22/3/2021,"$1,568 ",83
Husein Augar, UK,Organic Choco Syrup,22/3/2021,"$3,682 ",148
Dennison Crosswaite,India,After Nines,22/3/2021,"$5,544 ",185
Dennison Crosswaite,  USA,After Nines,22/3/2021,$252 ,10
Curtice Advani,  Canada,99% Dark & Pure,22/3/2021,"$6,230 ",271
Kelci Walkden,  New Zealand,After Nines,23/3/2021,"$3,724 ",129
Dennison Crosswaite,New Zealand,Fruit & Nut Bars,23/3/2021,"$5,544 ",427
Barr Faughny,   UK,Raspberry Choco,23/3/2021,"$8,624 ",392
Rafaelita Blaksland,  India,50% Dark Bites,23/3/2021,"$4,627 ",515
Barr Faughny, Australia,Fruit & Nut Bars,23/3/2021,"$13,237 ",1019
Ches Bonnell,Canada,Mint Chip Choco,23/3/2021,"$3,143 ",158
Jehu Rudeforth,  Canada,Organic Choco Syrup,23/3/2021,"$8,631 ",376
Curtice Advani,  Canada,Choco Coated Almonds,23/3/2021,"$4,886 ",288
Madelene Upcott,New Zealand,Almond Choco,23/3/2021,"$5,012 ",295
Oby Sorrel, USA,Mint Chip Choco,23/3/2021,"$7,847 ",462
Barr Faughny,   Canada,50% Dark Bites,24/3/2021,"$2,709 ",301
Oby Sorrel,  UK,Milk Bars,24/3/2021,"$8,918 ",372
Dennison Crosswaite,UK,Caramel Stuffed Bars,24/3/2021,"$11,942 ",543
Ches Bonnell, UK,70% Dark Bites,24/3/2021,"$19,173 ",1279
Marney O'Breen,  India,Caramel Stuffed Bars,24/3/2021,"$2,590 ",87
Marney O'Breen,  New Zealand,Raspberry Choco,24/3/2021,"$2,555 ",160
Brien Boise,   Australia,Mint Chip Choco,24/3/2021,$861 ,46
Kaine Padly,Australia,Caramel Stuffed Bars,24/3/2021,"$11,956 ",544
Kaine Padly,   New Zealand,70% Dark Bites,24/3/2021,"$8,589 ",661
Gigi Bohling,   UK,Peanut Butter Cubes,24/3/2021,"$6,496 ",361
Oby Sorrel,   Canada,Milk Bars,24/3/2021,"$5,299 ",204
Jan Morforth,   UK,Choco Coated Almonds,24/3/2021,"$4,858 ",324
Kelci Walkden,   New Zealand,99% Dark & Pure,24/3/2021,$357 ,19
Ches Bonnell, India,50% Dark Bites,24/3/2021,"$5,264 ",405
Andria Kimpton,Australia,Spicy Special Slims,24/3/2021,"$7,896 ",304
Gigi Bohling, USA,Baker's Choco Chips,24/3/2021,"$9,548 ",796
Ches Bonnell,   Australia,Raspberry Choco,24/3/2021,"$3,024 ",178
Rafaelita Blaksland, New Zealand,Milk Bars,24/3/2021,"$12,257 ",409
Gigi Bohling,   Canada,Milk Bars,24/3/2021,"$5,327 ",184
Madelene Upcott,   UK,After Nines,24/3/2021,$784 ,33
Ches Bonnell,UK,85% Dark Bars,25/3/2021,"$5,824 ",278
Camilla Castle, New Zealand,Peanut Butter Cubes,25/3/2021,"$11,354 ",494
Husein Augar,   Canada,Baker's Choco Chips,25/3/2021,"$7,245 ",725
Marney O'Breen,  New Zealand,Fruit & Nut Bars,25/3/2021,"$2,870 ",160
Camilla Castle,   New Zealand,Orange Choco,25/3/2021,$721 ,91
Wilone O'Kielt, USA,Milk Bars,25/3/2021,"$1,274 ",42
Kelci Walkden,UK,Almond Choco,25/3/2021,"$12,187 ",717
Beverie Moffet,  New Zealand,Mint Chip Choco,25/3/2021,"$17,969 ",899
Beverie Moffet, Australia,Caramel Stuffed Bars,25/3/2021,"$2,471 ",103
Jan Morforth,   UK,85% Dark Bars,25/3/2021,"$2,296 ",100
Mallorie Waber,   New Zealand,Almond Choco,25/3/2021,"$10,801 ",636
Barr Faughny,  Australia,Drinking Coco,25/3/2021,"$3,031 ",117
Barr Faughny,   USA,Fruit & Nut Bars,25/3/2021,$112 ,11
Gunar Cockshoot,  Australia,Caramel Stuffed Bars,25/3/2021,$329 ,14
Gunar Cockshoot,New Zealand,Fruit & Nut Bars,25/3/2021,"$9,590 ",600
Andria Kimpton,   Canada,Drinking Coco,25/3/2021,"$3,220 ",115
Wilone O'Kielt,  India,After Nines,25/3/2021,"$9,660 ",358
Ches Bonnell,  India,White Choc,25/3/2021,"$9,737 ",886
Gigi Bohling,UK,Baker's Choco Chips,25/3/2021,"$3,899 ",488
Brien Boise, UK,Manuka Honey Choco,26/3/2021,"$1,477 ",48
Kelci Walkden,   Australia,Spicy Special Slims,26/3/2021,"$4,242 ",152
Camilla Castle, USA,70% Dark Bites,26/3/2021,"$8,946 ",895
Camilla Castle,   India,Orange Choco,26/3/2021,"$14,504 ",1813
Kelci Walkden,  New Zealand,Manuka Honey Choco,26/3/2021,"$6,433 ",202
Curtice Advani, Canada,After Nines,26/3/2021,"$9,261 ",343
Oby Sorrel,New Zealand,85% Dark Bars,26/3/2021,$756 ,38
Gunar Cockshoot,   USA,Baker's Choco Chips,26/3/2021,"$4,018 ",447
Karlen McCaffrey, Australia,99% Dark & Pure,26/3/2021,$168 ,9
Gunar Cockshoot,Canada,Caramel Stuffed Bars,26/3/2021,"$4,004 ",149
Jan Morforth,Australia,99% Dark & Pure,26/3/2021,"$6,272 ",299
Ches Bonnell,India,70% Dark Bites,26/3/2021,"$5,215 ",348
Gunar Cockshoot,New Zealand,Spicy Special Slims,26/3/2021,"$3,094 ",148
Mallorie Waber, Australia,99% Dark & Pure,26/3/2021,"$9,324 ",583
Van Tuxwell,  UK,Organic Choco Syrup,26/3/2021,"$20,447 ",758
Kaine Padly,  India,Baker's Choco Chips,26/3/2021,"$14,189 ",1183
Jan Morforth,   India,Smooth Sliky Salty,26/3/2021,"$6,503 ",434
Curtice Advani,USA,Fruit & Nut Bars,26/3/2021,"$2,212 ",202
Husein Augar, New Zealand,Choco Coated Almonds,26/3/2021,"$2,975 ",142
Dotty Strutley,  USA,White Choc,29/3/2021,"$4,788 ",342
Jan Morforth,USA,White Choc,29/3/2021,"$9,604 ",565
Mallorie Waber, New Zealand,Drinking Coco,29/3/2021,$616 ,24
Oby Sorrel,  USA,50% Dark Bites,29/3/2021,"$7,644 ",695
Kaine Padly,   India,50% Dark Bites,29/3/2021,"$4,193 ",263
Madelene Upcott,Australia,Mint Chip Choco,29/3/2021,"$6,132 ",307
Oby Sorrel,New Zealand,Smooth Sliky Salty,29/3/2021,"$7,896 ",376
Jehu Rudeforth,  New Zealand,Organic Choco Syrup,29/3/2021,"$2,576 ",96
Jan Morforth,  India,Raspberry Choco,29/3/2021,"$2,821 ",157
Kaine Padly,  Australia,After Nines,29/3/2021,"$12,103 ",485
Dennison Crosswaite,   Canada,Smooth Sliky Salty,29/3/2021,"$5,271 ",377
Karlen McCaffrey, USA,Baker's Choco Chips,29/3/2021,"$5,117 ",512
Ches Bonnell,UK,Orange Choco,30/3/2021,"$4,767 ",434
Wilone O'Kielt, India,Caramel Stuffed Bars,30/3/2021,"$20,076 ",670
Camilla Castle,  New Zealand,Eclairs,30/3/2021,"$2,583 ",185
Oby Sorrel,  New Zealand,Orange Choco,30/3/2021,"$14,210 ",2030
Barr Faughny,  Canada,Baker's Choco Chips,30/3/2021,"$4,403 ",315
Gunar Cockshoot,Australia,Spicy Special Slims,30/3/2021,"$12,985 ",619
Dotty Strutley,Canada,85% Dark Bars,30/3/2021,"$1,358 ",68
Barr Faughny,   India,Baker's Choco Chips,30/3/2021,$203 ,19
Curtice Advani,   Australia,Eclairs,30/3/2021,"$1,281 ",99
Jehu Rudeforth,   Australia,Organic Choco Syrup,30/3/2021,"$13,475 ",539
Beverie Moffet, UK,White Choc,30/3/2021,"$1,547 ",119
Wilone O'Kielt,  India,Almond Choco,31/3/2021,"$6,013 ",317
Oby Sorrel,   Australia,70% Dark Bites,31/3/2021,"$10,703 ",1071
Brien Boise, Canada,After Nines,31/3/2021,"$7,630 ",306
Mallorie Waber,   USA,Eclairs,31/3/2021,"$5,369 ",384
Gunar Cockshoot,  Australia,Choco Coated Almonds,31/3/2021,"$7,917 ",360
Dennison Crosswaite,Australia,Eclairs,31/3/2021,$259 ,17
Brien Boise,  USA,Organic Choco Syrup,1/4/2021,"$3,115 ",112
Dotty Strutley,   UK,Eclairs,1/4/2021,"$10,731 ",537
Madelene Upcott,   UK,Eclairs,1/4/2021,"$2,352 ",181
Gunar Cockshoot,USA,99% Dark & Pure,1/4/2021,"$5,138 ",303
Rafaelita Blaksland,India,Orange Choco,1/4/2021,"$1,428 ",102
Kaine Padly, Australia,85% Dark Bars,1/4/2021,"$3,598 ",157
Wilone O'Kielt, Australia,Eclairs,1/4/2021,"$10,528 ",555
Kelci Walkden,   Canada,After Nines,2/4/2021,"$2,100 ",70
Mallorie Waber,  India,Milk Bars,2/4/2021,"$6,797 ",262
Dotty Strutley, USA,Caramel Stuffed Bars,2/4/2021,"$6,202 ",249
Gigi Bohling,Australia,Milk Bars,2/4/2021,"$8,001 ",348
Ches Bonnell,  USA,Mint Chip Choco,2/4/2021,"$13,832 ",814
Jan Morforth,USA,70% Dark Bites,2/4/2021,"$1,568 ",121
Jan Morforth,UK,Drinking Coco,2/4/2021,"$3,129 ",112
Gigi Bohling,Australia,After Nines,2/4/2021,"$6,944 ",278
Dotty Strutley,UK,Organic Choco Syrup,2/4/2021,"$7,672 ",265
Ches Bonnell,UK,99% Dark & Pure,2/4/2021,"$4,137 ",197
Dotty Strutley,  USA,Almond Choco,2/4/2021,"$1,365 ",72
Karlen McCaffrey,  New Zealand,Raspberry Choco,2/4/2021,"$7,238 ",453
Dotty Strutley,   New Zealand,Almond Choco,2/4/2021,"$10,500 ",457
Madelene Upcott, USA,Smooth Sliky Salty,2/4/2021,"$6,790 ",453
Dotty Strutley, India,70% Dark Bites,2/4/2021,"$7,203 ",515
Jehu Rudeforth,   India,Baker's Choco Chips,2/4/2021,"$6,202 ",443
Dennison Crosswaite,USA,White Choc,5/4/2021,"$8,351 ",696
Roddy Speechley,   India,70% Dark Bites,5/4/2021,$980 ,109
Husein Augar,Australia,85% Dark Bars,5/4/2021,"$12,908 ",562
Andria Kimpton, Canada,70% Dark Bites,5/4/2021,"$4,473 ",320
Wilone O'Kielt,   India,Manuka Honey Choco,6/4/2021,"$3,066 ",93
Marney O'Breen,India,Drinking Coco,6/4/2021,"$4,053 ",177
Wilone O'Kielt, UK,99% Dark & Pure,6/4/2021,"$3,024 ",152
Jan Morforth, Australia,Organic Choco Syrup,7/4/2021,"$2,100 ",68
Oby Sorrel,   Australia,Spicy Special Slims,7/4/2021,"$2,555 ",112
Andria Kimpton,UK,Organic Choco Syrup,7/4/2021,"$6,559 ",243
Beverie Moffet,  Canada,Eclairs,7/4/2021,"$8,176 ",390
Wilone O'Kielt,  UK,Almond Choco,7/4/2021,"$17,675 ",884
Madelene Upcott,Australia,Baker's Choco Chips,7/4/2021,"$11,004 ",1223
Camilla Castle,  New Zealand,Milk Bars,7/4/2021,"$2,233 ",77
Gigi Bohling,USA,Milk Bars,7/4/2021,"$16,359 ",712
Curtice Advani,   UK,70% Dark Bites,7/4/2021,"$3,192 ",228
Dotty Strutley,Canada,Eclairs,7/4/2021,"$5,313 ",380
Beverie Moffet,  Canada,Raspberry Choco,7/4/2021,"$1,841 ",97
Dennison Crosswaite,  UK,Spicy Special Slims,7/4/2021,"$9,884 ",396
Wilone O'Kielt, New Zealand,White Choc,7/4/2021,"$3,066 ",205
Andria Kimpton,Canada,Manuka Honey Choco,7/4/2021,"$11,207 ",362
Husein Augar,   India,50% Dark Bites,7/4/2021,"$6,321 ",452
Brien Boise, India,Orange Choco,7/4/2021,"$5,299 ",663
Dennison Crosswaite, Australia,Choco Coated Almonds,8/4/2021,"$11,578 ",552
Camilla Castle, India,99% Dark & Pure,8/4/2021,"$4,298 ",239
Marney O'Breen,Australia,Baker's Choco Chips,8/4/2021,"$9,548 ",682
Brien Boise,  New Zealand,Spicy Special Slims,8/4/2021,"$5,663 ",236
Brien Boise, UK,Spicy Special Slims,8/4/2021,$329 ,15
Brien Boise,   New Zealand,Mint Chip Choco,8/4/2021,"$9,275 ",489
Karlen McCaffrey,  Australia,After Nines,8/4/2021,$77 ,3
Brien Boise,India,Raspberry Choco,8/4/2021,"$4,256 ",224
Van Tuxwell,   UK,Almond Choco,9/4/2021,"$4,018 ",237
Kelci Walkden, UK,Mint Chip Choco,9/4/2021,"$6,699 ",479
Roddy Speechley,USA,85% Dark Bars,9/4/2021,"$4,571 ",241
Gigi Bohling, Australia,85% Dark Bars,9/4/2021,"$4,193 ",200
Madelene Upcott,USA,Orange Choco,9/4/2021,$392 ,28
Husein Augar,UK,Almond Choco,9/4/2021,"$3,192 ",146
Gigi Bohling,   Canada,Peanut Butter Cubes,9/4/2021,$154 ,7
Curtice Advani, UK,Drinking Coco,9/4/2021,"$5,502 ",212
Dotty Strutley,   UK,Orange Choco,9/4/2021,"$4,389 ",439
Ches Bonnell,   Australia,99% Dark & Pure,9/4/2021,"$12,215 ",764
Jan Morforth,UK,Orange Choco,9/4/2021,"$1,960 ",140
Van Tuxwell,India,Fruit & Nut Bars,9/4/2021,$994 ,77
Beverie Moffet,  New Zealand,Spicy Special Slims,9/4/2021,"$3,731 ",150
Jehu Rudeforth,   USA,Peanut Butter Cubes,12/4/2021,"$11,851 ",456
Madelene Upcott,   New Zealand,Manuka Honey Choco,12/4/2021,"$7,798 ",289
Brien Boise,New Zealand,99% Dark & Pure,12/4/2021,$658 ,32
Madelene Upcott, India,Baker's Choco Chips,12/4/2021,"$18,963 ",1355
Brien Boise,   India,99% Dark & Pure,12/4/2021,$574 ,34
Karlen McCaffrey,   Canada,Manuka Honey Choco,12/4/2021,$763 ,28
Marney O'Breen, Canada,50% Dark Bites,12/4/2021,"$1,295 ",108
Karlen McCaffrey,  USA,Spicy Special Slims,12/4/2021,"$1,281 ",61
Beverie Moffet,   Canada,Baker's Choco Chips,12/4/2021,"$6,657 ",606
Marney O'Breen,  Canada,Mint Chip Choco,12/4/2021,"$1,533 ",110
Mallorie Waber,   UK,99% Dark & Pure,12/4/2021,"$2,534 ",121
Van Tuxwell,USA,White Choc,12/4/2021,"$3,808 ",224
Andria Kimpton,  New Zealand,99% Dark & Pure,12/4/2021,"$7,637 ",425
Karlen McCaffrey, Canada,50% Dark Bites,13/4/2021,"$5,397 ",416
Barr Faughny,  Australia,Organic Choco Syrup,13/4/2021,"$5,649 ",202
Oby Sorrel, Canada,Drinking Coco,13/4/2021,"$2,996 ",116
Wilone O'Kielt,  Australia,Organic Choco Syrup,13/4/2021,"$2,247 ",87
Andria Kimpton,USA,Orange Choco,13/4/2021,"$1,092 ",84
Jan Morforth,   India,Mint Chip Choco,13/4/2021,"$4,368 ",292
Barr Faughny,Canada,White Choc,13/4/2021,$868 ,87
Kaine Padly,  USA,Milk Bars,13/4/2021,"$8,729 ",364
Jan Morforth,   USA,99% Dark & Pure,13/4/2021,"$2,065 ",130
Kaine Padly,   New Zealand,99% Dark & Pure,13/4/2021,"$6,293 ",274
Gigi Bohling,New Zealand,70% Dark Bites,13/4/2021,"$7,602 ",761
Marney O'Breen, Canada,Almond Choco,13/4/2021,"$10,150 ",598
Brien Boise,  UK,Almond Choco,13/4/2021,"$11,081 ",739
Dotty Strutley,USA,Raspberry Choco,13/4/2021,$588 ,27
Jehu Rudeforth,   UK,70% Dark Bites,13/4/2021,"$3,710 ",413
Roddy Speechley,   New Zealand,Raspberry Choco,14/4/2021,$371 ,27
Mallorie Waber,  New Zealand,85% Dark Bars,14/4/2021,"$2,254 ",119
Karlen McCaffrey,   Australia,Peanut Butter Cubes,14/4/2021,"$2,345 ",112
Barr Faughny,   Australia,50% Dark Bites,14/4/2021,"$18,473 ",2053
Wilone O'Kielt, USA,Organic Choco Syrup,14/4/2021,"$1,680 ",58
Rafaelita Blaksland,  USA,85% Dark Bars,14/4/2021,"$4,508 ",215
Dennison Crosswaite,   Australia,Raspberry Choco,15/4/2021,"$8,463 ",385
Beverie Moffet,India,Baker's Choco Chips,15/4/2021,$931 ,117
Jan Morforth,Canada,Eclairs,15/4/2021,"$12,460 ",623
Dennison Crosswaite,   Australia,Milk Bars,15/4/2021,$868 ,37
Mallorie Waber, UK,Manuka Honey Choco,15/4/2021,$301 ,13
Brien Boise,  India,Baker's Choco Chips,15/4/2021,$434 ,37
Rafaelita Blaksland,  UK,Peanut Butter Cubes,15/4/2021,"$2,058 ",115
Camilla Castle,   Canada,White Choc,15/4/2021,"$9,597 ",873
Marney O'Breen,  India,Almond Choco,16/4/2021,"$13,314 ",784
Mallorie Waber,   UK,Baker's Choco Chips,16/4/2021,$630 ,70
Wilone O'Kielt,USA,Raspberry Choco,16/4/2021,"$8,918 ",446
Kelci Walkden,   India,Manuka Honey Choco,16/4/2021,"$7,133 ",223
Van Tuxwell,   Australia,Fruit & Nut Bars,16/4/2021,"$1,638 ",97
Marney O'Breen,  India,50% Dark Bites,16/4/2021,"$8,253 ",551
Dennison Crosswaite,India,Milk Bars,16/4/2021,"$5,950 ",192
Jan Morforth,   New Zealand,50% Dark Bites,16/4/2021,"$7,000 ",875
Kelci Walkden,Canada,Organic Choco Syrup,16/4/2021,"$2,030 ",89
Van Tuxwell,   India,Almond Choco,16/4/2021,"$8,337 ",439
Gunar Cockshoot,India,Milk Bars,16/4/2021,"$1,876 ",79
Andria Kimpton,Canada,Eclairs,16/4/2021,"$9,352 ",446
Dennison Crosswaite,India,50% Dark Bites,16/4/2021,"$5,621 ",625
Gunar Cockshoot,   India,Orange Choco,16/4/2021,"$6,062 ",674
Rafaelita Blaksland,  USA,Raspberry Choco,16/4/2021,"$5,054 ",266
Brien Boise,  USA,After Nines,16/4/2021,"$7,581 ",237
Jan Morforth, USA,Spicy Special Slims,16/4/2021,"$7,763 ",353
Dotty Strutley,Australia,White Choc,16/4/2021,"$9,387 ",626
Barr Faughny, Canada,85% Dark Bars,16/4/2021,$966 ,57
Karlen McCaffrey,   India,Almond Choco,16/4/2021,"$5,278 ",278
Beverie Moffet,  New Zealand,White Choc,16/4/2021,"$18,354 ",1669
Marney O'Breen,  India,Spicy Special Slims,16/4/2021,"$1,330 ",61
Roddy Speechley,  Canada,Eclairs,16/4/2021,"$1,155 ",83
Rafaelita Blaksland,USA,Orange Choco,16/4/2021,"$4,669 ",667
Ches Bonnell,  Canada,Fruit & Nut Bars,16/4/2021,"$4,676 ",293
Husein Augar,  USA,After Nines,16/4/2021,$602 ,21
Jehu Rudeforth, Australia,99% Dark & Pure,19/4/2021,"$13,090 ",770
Kelci Walkden,   Australia,Drinking Coco,19/4/2021,"$11,928 ",459
Andria Kimpton,  Australia,After Nines,19/4/2021,"$4,634 ",145
Dennison Crosswaite,   UK,Smooth Sliky Salty,19/4/2021,"$5,292 ",252
Beverie Moffet,   UK,Peanut Butter Cubes,19/4/2021,"$9,065 ",378
Wilone O'Kielt, UK,Spicy Special Slims,19/4/2021,"$12,299 ",560
Husein Augar,  New Zealand,Manuka Honey Choco,19/4/2021,"$6,818 ",273
Dennison Crosswaite,New Zealand,Smooth Sliky Salty,19/4/2021,"$3,773 ",252
Jan Morforth,  UK,50% Dark Bites,19/4/2021,"$5,138 ",367
Andria Kimpton,Australia,Smooth Sliky Salty,19/4/2021,"$4,557 ",269
Barr Faughny,   Australia,Almond Choco,19/4/2021,"$2,751 ",138
Madelene Upcott,   Australia,70% Dark Bites,19/4/2021,"$10,906 ",779
Oby Sorrel,  USA,Choco Coated Almonds,19/4/2021,"$5,621 ",256
Jan Morforth,  USA,85% Dark Bars,20/4/2021,"$2,471 ",155
Gigi Bohling,  USA,White Choc,20/4/2021,"$6,139 ",410
Karlen McCaffrey,USA,Drinking Coco,20/4/2021,"$2,807 ",128
Madelene Upcott,  Australia,Raspberry Choco,20/4/2021,"$8,169 ",454
Jan Morforth,  Australia,Mint Chip Choco,20/4/2021,"$8,785 ",586
Barr Faughny,   New Zealand,Peanut Butter Cubes,20/4/2021,"$5,628 ",256
Husein Augar,   USA,White Choc,20/4/2021,"$1,302 ",77
Madelene Upcott,   Australia,Peanut Butter Cubes,20/4/2021,"$9,282 ",387
Wilone O'Kielt,   USA,Manuka Honey Choco,20/4/2021,"$4,046 ",162
Jehu Rudeforth,   Canada,Drinking Coco,20/4/2021,"$10,605 ",442
Curtice Advani,   India,50% Dark Bites,20/4/2021,"$5,929 ",539
Ches Bonnell, Canada,Manuka Honey Choco,20/4/2021,"$2,611 ",105
Gunar Cockshoot,   India,Baker's Choco Chips,20/4/2021,"$7,686 ",769
Kaine Padly,  USA,White Choc,20/4/2021,"$2,786 ",164
Jehu Rudeforth,   India,70% Dark Bites,20/4/2021,"$4,123 ",516
Rafaelita Blaksland,  UK,Choco Coated Almonds,20/4/2021,"$1,477 ",78
Gigi Bohling, UK,Caramel Stuffed Bars,20/4/2021,"$12,040 ",416
Jan Morforth,  UK,Fruit & Nut Bars,20/4/2021,"$4,340 ",310
Kelci Walkden,   New Zealand,Choco Coated Almonds,20/4/2021,"$2,639 ",126
Dotty Strutley,  New Zealand,Orange Choco,21/4/2021,"$7,931 ",1322
Jan Morforth,   New Zealand,Drinking Coco,21/4/2021,"$1,078 ",45
Beverie Moffet, Australia,85% Dark Bars,21/4/2021,"$8,680 ",362
Madelene Upcott,New Zealand,99% Dark & Pure,21/4/2021,"$8,967 ",427
Dotty Strutley,USA,After Nines,21/4/2021,"$12,075 ",465
Gigi Bohling, UK,Fruit & Nut Bars,21/4/2021,"$4,396 ",294
Husein Augar,  New Zealand,Organic Choco Syrup,21/4/2021,"$2,877 ",96
Dotty Strutley,New Zealand,Raspberry Choco,21/4/2021,"$1,659 ",104
Marney O'Breen,   Australia,70% Dark Bites,21/4/2021,$616 ,42
Ches Bonnell,UK,Almond Choco,21/4/2021,"$7,021 ",469
Van Tuxwell,   USA,70% Dark Bites,21/4/2021,"$3,255 ",296
Oby Sorrel,Canada,Baker's Choco Chips,21/4/2021,"$5,516 ",613
Jehu Rudeforth,   UK,White Choc,21/4/2021,"$18,039 ",1289
Husein Augar,UK,Manuka Honey Choco,21/4/2021,"$12,593 ",394
Madelene Upcott,   New Zealand,Organic Choco Syrup,21/4/2021,"$1,981 ",67
Gigi Bohling,   USA,Raspberry Choco,21/4/2021,"$6,552 ",410
Ches Bonnell,   USA,Raspberry Choco,21/4/2021,"$10,682 ",629
Marney O'Breen, UK,70% Dark Bites,21/4/2021,"$11,046 ",789
Jehu Rudeforth,  USA,Mint Chip Choco,21/4/2021,"$4,263 ",225
Barr Faughny,   UK,Orange Choco,21/4/2021,"$5,558 ",464
Van Tuxwell,  Canada,Manuka Honey Choco,22/4/2021,"$4,214 ",128
